PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
Samsun-Cengiz CCGE Power Plant Turkey,132,Turkey,Samsun,GAS,Environmentally Responsible,41.2407,36.4776,"41.2407, 36.4776",Combined Cycle Gas Engine (CCGE),Base Load,"Samsun, Turkey",POWERPLANTS
Samsun-Aksa CCGE Power Plant Turkey,132,Turkey,Samsun,GAS,Environmentally Responsible,41.243,36.4774,"41.243, 36.4774",Combined Cycle Gas Engine (CCGE),,"Samsun, Turkey",POWERPLANTS
Shuweihat I Cogen CCGT Power Plant UAE,1615,United Arab Emirates,Abu Dhabi,GAS,Environmentally Responsible,24.165,52.568,"24.165, 52.568",,,,POWERPLANTS
Taweelah B Cogen CCGT Power Plant UAE,2266,United Arab Emirates,Abu Dhabi,GAS,Environmentally Responsible,24.76801201,54.68730211,"24.7680120092, 54.6873021126",,,,POWERPLANTS
Ameer H I II III OCGT Power Station Dubai UAE,1844,United Arab Emirates,Dubay,GAS,Environmentally Responsible,25.149752,55.424716,"25.149752, 55.424716",Open Cycle Gas Turbine,Base Load,"20 km from Dubai city, Dubai, UAE",POWERPLANTS
Barking CCGT Power Station UK,1000,United Kingdom,Essex,GAS,Environmentally Responsible,51.521,0.147,"51.521, 0.147",Combined Cycle Gas Turbine,,"Chequers Lane in Dagenham, Essex, UK",POWERPLANTS
Enfield CCGT Power Station UK,408,United Kingdom,Greater London,GAS,Environmentally Responsible,51.6624839,-0.022476912,"51.6624838962, -0.0224769115448",,,,POWERPLANTS
Rye House CCGT Power Station,715,United Kingdom,Hertfordshire,GAS,Environmentally Responsible,51.76260763,0.009419918,"51.7626076315, 0.0094199180603",,,,POWERPLANTS
"Damhead Creek CCGT Power Station, UK",792,United Kingdom,Kent,GAS,Environmentally Responsible,51.42491531,0.601426363,"51.4249153055, 0.601426362991",,,,POWERPLANTS
Grain CCHGT Power Station UK,1275,United Kingdom,Medway,GAS,Environmentally Responsible,51.4444,0.7114,"51.4444, 0.7114",,,,POWERPLANTS
Killingholme A CCGT Power Station UK,665,United Kingdom,North Lincolnshire,GAS,Environmentally Responsible,53.6592,-0.256,"53.6592, -0.256",Combined Cycle Gas Turbine,,"Chase Hill Road, North Killingholme, North Lincolnshire",POWERPLANTS
Killingholme B CCGT Power Station UK,900,United Kingdom,North Lincolnshire,GAS,Environmentally Responsible,53.65354083,-0.25560379,"53.6535408349, -0.255603790283",Combined Cycle Gas Turbine,Peaking Load,"Chase Hill Road, North Killingholme, North Lincolnshire",POWERPLANTS
Saltend CCGT Power Station UK,1200,United Kingdom,North Yorkshire,GAS,Environmentally Responsible,53.73480188,-0.243415833,"53.7348018795, -0.24341583252",Combined Cycle Gas Turbine,Cogeneration,"Northern shore of the Humber Estuary, east of Hull at Saltend , Yorkshire",POWERPLANTS
Ballylumford C CCGT Power Station Northern Ireland,600,United Kingdom,Northern Ireland,GAS,Environmentally Responsible,54.8428,-5.7853,"54.8428, -5.7853",Combined Cycle Gas Turbine,Base Load,"Ballylumford, Islandmagee, Co Antrim, N Ireland",POWERPLANTS
West Burton CCGT Power Plant UK,1305,United Kingdom,Nottinghamshire,GAS,Environmentally Responsible,53.3631,-0.7976,"53.3631, -0.7976",,,,POWERPLANTS
Boise Cascade Pulp  and  Paper Mill Gas Plant AL USA,18,United States of America,Alabama,GAS,Environmentally Responsible,31.4917,-87.8992,"31.4917, -87.8992",,,,POWERPLANTS
Decatur Energy Center Gas Cogen Plant AL USA,711,United States of America,Alabama,GAS,Environmentally Responsible,34.6292,-87.0214,"34.6292, -87.0214",,,"Morgan County, AL, USA",POWERPLANTS
District 100 Transco Gas Pipe Line Gas Plant AL USA,1.6,United States of America,Alabama,GAS,Environmentally Responsible,32.8546,-86.719,"32.8546, -86.719",,,,POWERPLANTS
H Allen Franklin Combined Cycle Gas Plant AL USA,1307.6,United States of America,Alabama,GAS,Environmentally Responsible,32.6094,-85.0961,"32.6094, -85.0961",,,,POWERPLANTS
Tesoro Alaska Petroleum Gas Plant AK USA,8,United States of America,Alaska,GAS,Environmentally Responsible,59.5631,-150.2779,"59.5631, -150.2779",,,,POWERPLANTS
Biosphere 2 Center Gas Plant AZ USA,3.1,United States of America,Arizona,GAS,Environmentally Responsible,32.578778,-110.850594,"32.578778, -110.850594",,,"Pinal County, AZ, USA",POWERPLANTS
Gould Electronics Foil Division Gas Plant AZ USA,1,United States of America,Arizona,GAS,Environmentally Responsible,33.3596,-112.4878,"33.3596, -112.4878",,,,POWERPLANTS
Griffith Energy Gas Plant AZ USA,654.4,United States of America,Arizona,GAS,Environmentally Responsible,35.1386,-114.1319,"35.1386, -114.1319",,,,POWERPLANTS
Ina Road Water Pollution Control Fac Gas Plant AZ USA,4.2,United States of America,Arizona,GAS,Environmentally Responsible,32.105,-111.7931,"32.105, -111.7931",,,,POWERPLANTS
Kyrene Gas Plant AZ USA,573.7,United States of America,Arizona,GAS,Environmentally Responsible,33.3544,-111.9364,"33.3544, -111.9364",,,,POWERPLANTS
Santan Gas Plant AZ USA,1336.1,United States of America,Arizona,GAS,Environmentally Responsible,33.3544,-111.9364,"33.3544, -111.9364",,,,POWERPLANTS
Yuma Cogeneration Associates Gas Plant AZ USA,62.6,United States of America,Arizona,GAS,Environmentally Responsible,32.7644,-113.9059,"32.7644, -113.9059",,,,POWERPLANTS
Cecil Lynch Gas Plant AR USA,231,United States of America,Arkansas,GAS,Environmentally Responsible,34.7533,-92.1833,"34.7533, -92.1833",,,,POWERPLANTS
Fulton Gas Plant AR USA,154.8,United States of America,Arkansas,GAS,Environmentally Responsible,33.7353,-93.6684,"33.7353, -93.6684",,,,POWERPLANTS
Pine Bluff Energy Center Gas Plant AR USA,236,United States of America,Arkansas,GAS,Environmentally Responsible,34.2181,-91.9025,"34.2181, -91.9025",,,,POWERPLANTS
Union Power Partners LP Gas Plant AR USA,2428,United States of America,Arkansas,GAS,Environmentally Responsible,33.2961,-92.5933,"33.2961, -92.5933",,,,POWERPLANTS
Biola University Gas CHP Plant CA USA,2.2,United States of America,California,GAS,Environmentally Responsible,33.907,-118.01306,"33.907, -118.01306",,,"Los Angeles County, CA, USA",POWERPLANTS
Broadway Gas Plant CA USA,167,United States of America,California,GAS,Environmentally Responsible,34.125,-118.15,"34.125, -118.15",,,,POWERPLANTS
C P Kelco San Diego Plant Gas CHP Plant CA USA,28,United States of America,California,GAS,Environmentally Responsible,33.0362,-116.7356,"33.0362, -116.7356",,,"San Diego County, CA, USA",POWERPLANTS
Carson Ice-Gen Project Gas Plant CA USA,125.5,United States of America,California,GAS,Environmentally Responsible,38.4461,-121.4614,"38.4461, -121.4614",,,,POWERPLANTS
Chowchilla II Gas Plant CA USA,49.6,United States of America,California,GAS,Environmentally Responsible,37.213,-119.7457,"37.213, -119.7457",,,,POWERPLANTS
Coachella Gas Plant CA USA,92.4,United States of America,California,GAS,Environmentally Responsible,33.7437,-115.9925,"33.7437, -115.9925",,,,POWERPLANTS
Cynric 31X Cogen Gas Plant CA USA,6.8,United States of America,California,GAS,Environmentally Responsible,35.3444,-118.7289,"35.3444, -118.7289",,,,POWERPLANTS
Dome Project Gas CHP Plant CA USA,6,United States of America,California,GAS,Environmentally Responsible,35.3444,-118.7289,"35.3444, -118.7289",,,"Kern County, CA, USA",POWERPLANTS
El Centro Gas Plant CA USA,256,United States of America,California,GAS,Environmentally Responsible,32.7831,-115.5297,"32.7831, -115.5297",,,,POWERPLANTS
ExxonMobil Oil Torrance Refinery Gas CHP  Plant CA USA,49.3,United States of America,California,GAS,Environmentally Responsible,34.3209,-118.2212,"34.3209, -118.2212",,,"Los Angeles County, CA, USA",POWERPLANTS
Gaviota Oil Plant Gas Plant CA USA,14,United States of America,California,GAS,Environmentally Responsible,34.6688,-120.0125,"34.6688, -120.0125",,,"Santa Barbara County, CA, USA",POWERPLANTS
General Mills Operations Lodi Gas Plant CA USA,4.6,United States of America,California,GAS,Environmentally Responsible,37.9336,-121.2604,"37.9336, -121.2604",,,,POWERPLANTS
Gilroy Power Plant Gas Plant CA USA,130,United States of America,California,GAS,Environmentally Responsible,37.0033,-121.5369,"37.0033, -121.5369",,,,POWERPLANTS
Goose Haven Energy Center Gas Plant CA USA,47,United States of America,California,GAS,Environmentally Responsible,38.2208,-121.8661,"38.2208, -121.8661",,,,POWERPLANTS
Grayson Gas Plant CA USA,340.3,United States of America,California,GAS,Environmentally Responsible,34.0053,-118.2769,"34.0053, -118.2769",,,,POWERPLANTS
Inginiyagala Hydroelectric Power Station Sri Lanka,11.25,Sri Lanka,Ampara,HYDRO,Environmentally Responsible,7.2111,81.5366,"7.2111, 81.5366",Dam on river with reservoir,,"Senanayake Samudra Reservoir, Ampara, Sri Lanka",POWERPLANTS
Kotmale Hydroelectric Power Plant Sri Lanka,201,Sri Lanka,Kandy,HYDRO,Environmentally Responsible,7.061,80.597,"7.061, 80.597",Dam on river with reservoir,,"Kandy, Sri Lanka",POWERPLANTS
Old Laxapana Hydroelectric Power Plant Sri Lanka,50,Sri Lanka,Nuwara Eliya,HYDRO,Environmentally Responsible,6.9622,80.5213,"6.9622, 80.5213",Dam with run-of-river generation,,"Laxapana, Nuwara Eliya, Sri Lanka",POWERPLANTS
Canyon Hydroelectric Power Plant Sri Lanka,60,Sri Lanka,Nuwara Eliya,HYDRO,Environmentally Responsible,6.869,80.5279,"6.869, 80.5279",Dam on river with reservoir,,"S of Nortanbridge, Nuwara Eliya, Sri Lanka",POWERPLANTS
Sveg Hydroelectric Power Plant Sweden,36,Sweden,Jamtland,HYDRO,Environmentally Responsible,62.02722,14.284,"62.02722, 14.284",Dam on river with reservoir,,"Sveg, Jamtland, Sweden",POWERPLANTS
Vittjarv Hydroelectric Power Station Sweden,30,Sweden,Norrbotten,HYDRO,Environmentally Responsible,65.8453,21.5545,"65.8453, 21.5545",Dam with run-of-river generation,,"Boden, Norrbotten, Sweden",POWERPLANTS
Messaure Hydroelectric Power Station Sweden,442,Sweden,Norrbotten,HYDRO,Environmentally Responsible,66.6855,20.3359,"66.6855, 20.3359",Dam with run-of-river generation,,"Norrbotten, Sweden",POWERPLANTS
Vietas Hydroelectric Power Station Sweden,325,Sweden,Norrbotten,HYDRO,Environmentally Responsible,67.49314,18.35494,"67.49314, 18.35494",Dam on a lake,,"Viestas, Norrbotten, Sweden",POWERPLANTS
Seitevare Hydroelectric Power Station Sweden,225,Sweden,Norrbotten,HYDRO,Environmentally Responsible,66.97611,18.578056,"66.97611, 18.578056",Dam on river with reservoir,,"Norrbotten, Sweden",POWERPLANTS
Holjes Hydroelectric Power Station Sweden,128,Sweden,Varmland,HYDRO,Environmentally Responsible,60.9511,12.54321,"60.9511, 12.54321",Dam on river with reservoir,,"Torsby, Varmland, Sweden",POWERPLANTS
Kilforsen Hydroelectric Power Plant Sweden,288,Sweden,Vasternorrland,HYDRO,Environmentally Responsible,63.5423,16.76288,"63.5423, 16.76288",Dam with run-of-river generation,,"Kilforsen, Vasternorrland, Sweden",POWERPLANTS
Stalon Hydroelectric Power Station Sweden,130,Sweden,Vasternorrland,HYDRO,Environmentally Responsible,64.947,16.82727,"64.947, 16.82727",Dam on a lake,Intermediate/Peak Load,"Storuman, Vasternorrland, Sweden",POWERPLANTS
Olidan Hydroelectric Power Plant Sweden,77,Sweden,Vastra Gotaland,HYDRO,Environmentally Responsible,58.275,12.2727,"58.275, 12.2727",Dam with run-of-river generation,,"Trollhttan, Vstra Gtaland County, Sweden",POWERPLANTS
Handeck 2 Hydroelectric Power Plant Switzerland,136,Switzerland,Bern,HYDRO,Environmentally Responsible,46.6157,8.30382,"46.6157, 8.30382",Dam on a lake,Peaking Load and Backup,"Grimsel, Bern, Switzerland",POWERPLANTS
Handeck 3 Hydroelectric Power Plant Switzerland,55,Switzerland,Bern,HYDRO,Environmentally Responsible,46.617,8.30627,"46.617, 8.30627",Pumped Storage Power Plant,Peaking Load and Backup,"Grimsel, Bern, Switzerland",POWERPLANTS
Klosters Hydroelectric Power Plant Switzerland,16.5,Switzerland,Graubnden,HYDRO,Environmentally Responsible,46.861086,9.895629,"46.861086, 9.895629",Dam with run-of-river generation,Intermediate/Peak Load,"Klosters, Graubnden, Switzerland",POWERPLANTS
Campocologno 1 Hydroelectric Power Plant Switzerland,47,Switzerland,Graubnden,HYDRO,Environmentally Responsible,46.23221,10.14371,"46.23221, 10.14371",Dam with run-of-river generation,Intermediate/Peak Load,"Brusio, Graubuenden, Switzerland",POWERPLANTS
Grande Dixence Hydroelectric Power Scheme Switzerland,2069,Switzerland,Valais,HYDRO,Environmentally Responsible,46.0731,7.4034,"46.0731, 7.4034",Dam on river with reservoir,Seasonal: Base,"Heremence, Valais, Switzerland",POWERPLANTS
Mauvoisin Hydroelectric Power Plant Switzerland,388,Switzerland,Valais,HYDRO,Environmentally Responsible,46.15726,7.20922,"46.15726, 7.20922",Dam on river with reservoir,Intermediate Load,"Riddes, Valais, Switzerland",POWERPLANTS
La Batiaz Hydroelectric Power Plant Switzerland,162,Switzerland,Valais,HYDRO,Environmentally Responsible,46.10973,7.06174,"46.10973, 7.06174",Dam on river with reservoir,,"Martigny, Valais, Switzerland",POWERPLANTS
Zermeiggern Hydroelectric Power Plant Switzerland,74,Switzerland,Valais,HYDRO,Environmentally Responsible,46.0824,7.9572,"46.0824, 7.9572",Pumped Storage Power Plant,,"Saas-Almagell, Stalden, Valais, Switzerland",POWERPLANTS
Gondo Hydroelectric Power Plant Switzerland,45,Switzerland,Valais,HYDRO,Environmentally Responsible,46.1961,8.1505,"46.1961, 8.1505",Dam on a lake,,"Gondo, Zwischbergental, Valais, Switzerland",POWERPLANTS
Eglisau Hydroelectric Power Plant Switzerland,47,Switzerland,Zurich,HYDRO,Environmentally Responsible,47.5748,8.4733,"47.5748, 8.4733",Dam with run-of-river generation,,"Zurich, Switzerland",POWERPLANTS
Baath Hydroelectric Power Project Syria,75,Syrian Arab Republic,Ar Raqqah,HYDRO,Environmentally Responsible,35.8853,38.7472,"35.8853, 38.7472",Dam with run-of-river generation,,"22km West of Ar Raqqah, Syria",POWERPLANTS
Varzob Cascade HPP-1 Tajikistan,7.15,Tajikistan,Dushanbe,HYDRO,Environmentally Responsible,38.6726,68.7685,"38.6726, 68.7685",Weir on a Canal,Base Load,"Dushanbe, Tajikistan",POWERPLANTS
Golovnaya Hydroelectric Power Plant Tajikistan,240,Tajikistan,Khatlon,HYDRO,Environmentally Responsible,37.8839,68.937,"37.8839, 68.937",Water discharged from another project,Base Load,"Khatlon, Tajikistan",POWERPLANTS
Kairakkum (Kayrakkum) Hydroelectric Power Plant Tajikistan,126,Tajikistan,Sogd,HYDRO,Environmentally Responsible,40.2759,69.815,"40.2759, 69.815",Dam on river with reservoir,Base Load,"Sogd, Tajikistan",POWERPLANTS
Rajjaprabha Hydroelectric Power Project Thailand,240,Thailand,Surat Thani,HYDRO,Environmentally Responsible,8.9723,98.807,"8.9723, 98.807",Dam on river with reservoir,Base/Intermediate Load,"KhaoKhao Phang, Sok National Park, Surat Thani, Thailand",POWERPLANTS
Sirikit Hydroelectric Power Project Thailand,500,Thailand,Uttaradit,HYDRO,Environmentally Responsible,17.7634,100.5636,"17.7634, 100.5636",Dam on river with reservoir,,"Pha Leod sub-district, Tha Pla district, Uttaradit province, Thailand",POWERPLANTS
Sidi Salem Hydroelectric Power Project Tunisia,33,Tunisia,Beja,HYDRO,Environmentally Responsible,36.59,9.397,"36.59, 9.397",Dam on river with reservoir,,"Testour, Beja, Tunisia",POWERPLANTS
Kasseb Hydroelectric Power Project Tunisia,0.825,Tunisia,Jendouba,HYDRO,Environmentally Responsible,36.7611,9.0024,"36.7611, 9.0024",Dam on river with reservoir,,"Jendouba, Tunisia",POWERPLANTS
Bouhertma Hydroelectric Power Project Tunisia,1.2,Tunisia,Jendouba,HYDRO,Environmentally Responsible,36.672,8.7884,"36.672, 8.7884",Dam on river with reservoir,,"NE of Fernana, Jendouba, Tunisia",POWERPLANTS
Ozluce Hydroelectric Power plant Turkey,170,Turkey,Bingol,HYDRO,Environmentally Responsible,39.12763,40.0845,"39.12763, 40.0845",Dam on river with reservoir,,"Yayladere, Bingol, Turkey",POWERPLANTS
Torul Hydroelectric Power Plant Turkey,105.6,Turkey,Gumushane,HYDRO,Environmentally Responsible,40.6357,39.2312,"40.6357, 39.2312",Dam on river with reservoir,Peaking Load,"14 km from Torul, Gumushane, Turkey",POWERPLANTS
Berke Hydroelectric Power plant Turkey,510,Turkey,Kahramanmaras,HYDRO,Environmentally Responsible,37.3732,36.4615,"37.3732, 36.4615",Dam on river with reservoir,,"Kahramanmaras, Turkey",POWERPLANTS
Ataturk Hydroelectric Power Plant Turkey,2400,Turkey,Sanliurfa,HYDRO,Environmentally Responsible,37.4817,38.3175,"37.4817, 38.3175",Dam on river with reservoir,,"Sanliurfa, Turkey",POWERPLANTS
Camligoze Hydroelectric Power Plant Turkey,33,Turkey,Sivas,HYDRO,Environmentally Responsible,40.2288,38.0751,"40.2288, 38.0751",Dam on river with reservoir,Peaking Load,"Sivas, Turkey",POWERPLANTS
Kiev Pumped Storage Hydroelectric Power Plant Ukraine,235,Ukraine,Kiev,HYDRO,Environmentally Responsible,50.6113,30.4902,"50.6113, 30.4902",Pumped Storage Power Plant,Peaking Load and Backup,"Vyshhorod, Kiev, Ukraine",POWERPLANTS
Cruachan Pumped Storage Power Station Scotland UK,400,United Kingdom,Argyll and Bute,HYDRO,Environmentally Responsible,56.394,-5.115,"56.394, -5.115",Pumped Storage Power Plant,,"North bank of Loch Awe,  in Argyll and Bute",POWERPLANTS
Ffestiniog Pumped Storage Power Station Wales UK,360,United Kingdom,Gwynedd,HYDRO,Environmentally Responsible,52.9807,-3.9686,"52.9807, -3.9686",Pumped Storage Power Plant,,"Ffestiniog, Gwynedd, North-West Wales, UK",POWERPLANTS
Foyers Pumped Storage Power Station Scotland UK,300,United Kingdom,Highland,HYDRO,Environmentally Responsible,57.2618,-4.4835,"57.2618, -4.4835",Pumped Storage Power Plant,,"Foyers, Loch Ness, Highland, Scotland",POWERPLANTS
Dandridges Mill Micro Hydro Power Plant UK,0.005,United Kingdom,Oxfordshire,HYDRO,Environmentally Responsible,51.63114,-1.40472,"51.63114, -1.40472",Weir on a River,Base Load,"East Hanney, Wantage",POWERPLANTS
Hale Hydroelectric Power Plant Tanzania,21,United Republic of Tanzania,Tanga,HYDRO,Environmentally Responsible,-5.298,38.604,"-5.298, 38.604",Dam on river with reservoir,,"Hale, Tanga, Tanzania",POWERPLANTS
Bankhead Dam Hydro Power Plant AL USA,45,United States of America,Alabama,HYDRO,Environmentally Responsible,33.2973,-87.5199,"33.2973, -87.5199",,,,POWERPLANTS
Bartletts Ferry Hydro Power Plant AL USA,173,United States of America,Alabama,HYDRO,Environmentally Responsible,32.6059,-85.353,"32.6059, -85.353",,,,POWERPLANTS
H Neely Henry Dam Hydro Power Plant AL USA,72.9,United States of America,Alabama,HYDRO,Environmentally Responsible,33.7733,-85.8262,"33.7733, -85.8262",,,,POWERPLANTS
Holt Dam Hydro Power Plant AL USA,40,United States of America,Alabama,HYDRO,Environmentally Responsible,33.2973,-87.5199,"33.2973, -87.5199",,,,POWERPLANTS
Lay Dam Hydro Power Plant AL USA,177,United States of America,Alabama,HYDRO,Environmentally Responsible,32.8546,-86.719,"32.8546, -86.719",,,,POWERPLANTS
Martin Dam Hydro Power Plant AL USA,210.6,United States of America,Alabama,HYDRO,Environmentally Responsible,32.6002,-86.1506,"32.6002, -86.1506",,,,POWERPLANTS
Wilson Dam Hydro Power Plant AL USA,666.7,United States of America,Alabama,HYDRO,Environmentally Responsible,34.7963,-87.6247,"34.7963, -87.6247",Dam on river with reservoir,,"Florence, Lauderdale County, AL, USA",POWERPLANTS
Annex Creek Hydro Power Plant AK USA,3.6,United States of America,Alaska,HYDRO,Environmentally Responsible,58.4609,-134.1781,"58.4609, -134.1781",,,,POWERPLANTS
Eklutna Hydro Project Hydro Power Plant AK USA,44.4,United States of America,Alaska,HYDRO,Environmentally Responsible,62.3146,-149.5714,"62.3146, -149.5714",,,,POWERPLANTS
Salmon Creek 1 Hydro Power Plant AK USA,6.7,United States of America,Alaska,HYDRO,Environmentally Responsible,58.4609,-134.1781,"58.4609, -134.1781",,,,POWERPLANTS
Davis Dam Hydro Power Plant AZ USA,254.8,United States of America,Arizona,HYDRO,Environmentally Responsible,35.19707,-114.57036,"35.19707, -114.57036",Dam on river with reservoir,,"Bullhead City, Mohave County, AZ, USA",POWERPLANTS
Horse Mesa Hydro Power Plant AZ USA,129.5,United States of America,Arizona,HYDRO,Environmentally Responsible,33.3596,-112.4878,"33.3596, -112.4878",,,,POWERPLANTS
Irving Hydro Power Plant AZ USA,1.6,United States of America,Arizona,HYDRO,Environmentally Responsible,34.6077,-112.5462,"34.6077, -112.5462",,,,POWERPLANTS
Parker Dam Hydroelectric Power Plant AZ USA,120,United States of America,Arizona,HYDRO,Environmentally Responsible,34.2953,-114.140246,"34.2953, -114.140246",Dam on river with reservoir,,"Parker, Arizona, USA",POWERPLANTS
Beaver Hydro Power Plant AR USA,112,United States of America,Arkansas,HYDRO,Environmentally Responsible,36.3401,-93.5334,"36.3401, -93.5334",,,,POWERPLANTS
Dam 2 Hydro Power Plant AR USA,102.6,United States of America,Arkansas,HYDRO,Environmentally Responsible,33.837,-91.2446,"33.837, -91.2446",,,,POWERPLANTS
Degray Hydro Power Plant AR USA,68,United States of America,Arkansas,HYDRO,Environmentally Responsible,34.0575,-93.1714,"34.0575, -93.1714",,,,POWERPLANTS
Lee Creek Water Treatment Facility Hydro Power Plant AR USA,1.3,United States of America,Arkansas,HYDRO,Environmentally Responsible,35.5907,-94.2409,"35.5907, -94.2409",,,,POWERPLANTS
A G Wishon Hydro Power Plant CA USA,12.8,United States of America,California,HYDRO,Environmentally Responsible,37.213,-119.7457,"37.213, -119.7457",,,,POWERPLANTS
Balch 2 Hydro Power Plant CA USA,97.2,United States of America,California,HYDRO,Environmentally Responsible,36.7548,-119.6397,"36.7548, -119.6397",,,,POWERPLANTS
Big Creek 2A Hydro Power Plant CA USA,110,United States of America,California,HYDRO,Environmentally Responsible,36.7548,-119.6397,"36.7548, -119.6397",,,,POWERPLANTS
Big Creek 4 Hydro Power Plant CA USA,100,United States of America,California,HYDRO,Environmentally Responsible,37.213,-119.7457,"37.213, -119.7457",,,,POWERPLANTS
Big Creek 8 Hydro Power Plant CA USA,75,United States of America,California,HYDRO,Environmentally Responsible,36.7548,-119.6397,"36.7548, -119.6397",,,,POWERPLANTS
Big Pine Hydro Power Plant CA USA,3.2,United States of America,California,HYDRO,Environmentally Responsible,36.5077,-117.404,"36.5077, -117.404",,,,POWERPLANTS
Bishop Creek 5 Hydro Power Plant CA USA,4.5,United States of America,California,HYDRO,Environmentally Responsible,36.5077,-117.404,"36.5077, -117.404",,,,POWERPLANTS
Bishop Creek 6 Hydro Power Plant CA USA,1.6,United States of America,California,HYDRO,Environmentally Responsible,36.5077,-117.404,"36.5077, -117.404",,,,POWERPLANTS
Box Canyon Hydro Power Plant CA USA,5,United States of America,California,HYDRO,Environmentally Responsible,41.5882,-122.5342,"41.5882, -122.5342",,,,POWERPLANTS
Caribou 1 Hydro Power Plant CA USA,73.8,United States of America,California,HYDRO,Environmentally Responsible,40.0022,-120.8378,"40.0022, -120.8378",,,,POWERPLANTS
Centerville Hydro Power Plant CA USA,6.4,United States of America,California,HYDRO,Environmentally Responsible,39.6618,-121.5917,"39.6618, -121.5917",,,,POWERPLANTS
Chili Bar Hydro Power Plant CA USA,7,United States of America,California,HYDRO,Environmentally Responsible,38.7752,-120.5168,"38.7752, -120.5168",,,,POWERPLANTS
Clear Lake Hydro Project Hydro Power Plant CA USA,2.5,United States of America,California,HYDRO,Environmentally Responsible,39.0985,-122.7451,"39.0985, -122.7451",,,,POWERPLANTS
Colgate Hydro Power Plant CA USA,315,United States of America,California,HYDRO,Environmentally Responsible,39.2617,-121.337,"39.2617, -121.337",,,,POWERPLANTS
Collierville Powerhouse Hydro Power Plant CA USA,253,United States of America,California,HYDRO,Environmentally Responsible,38.2014,-120.5446,"38.2014, -120.5446",,,,POWERPLANTS
Cove Hydroelectric Hydro Power Plant CA USA,5,United States of America,California,HYDRO,Environmentally Responsible,40.7587,-122.0344,"40.7587, -122.0344",,,,POWERPLANTS
Deer Creek Hydro Power Plant CA USA,5.5,United States of America,California,HYDRO,Environmentally Responsible,39.3013,-120.7467,"39.3013, -120.7467",,,,POWERPLANTS
Devil Canyon Hydro Power Plant CA USA,276.2,United States of America,California,HYDRO,Environmentally Responsible,34.8428,-116.1729,"34.8428, -116.1729",,,,POWERPLANTS
Dion R Holm Hydro Power Plant CA USA,165,United States of America,California,HYDRO,Environmentally Responsible,38.025,-119.9464,"38.025, -119.9464",,,,POWERPLANTS
Etiwanda Hydro Power Plant CA USA,23.9,United States of America,California,HYDRO,Environmentally Responsible,34.8428,-116.1729,"34.8428, -116.1729",,,,POWERPLANTS
Foothill Hydro Power Plant CA USA,11,United States of America,California,HYDRO,Environmentally Responsible,34.3209,-118.2212,"34.3209, -118.2212",,,,POWERPLANTS
Kekawaka Power House Hydro Power Plant CA USA,4.9,United States of America,California,HYDRO,Environmentally Responsible,39.4373,-123.3794,"39.4373, -123.3794",,,,POWERPLANTS
Kelly Ridge Hydro Power Plant CA USA,10,United States of America,California,HYDRO,Environmentally Responsible,39.6618,-121.5917,"39.6618, -121.5917",,,,POWERPLANTS
Kern River 1 Hydro Power Plant CA USA,26,United States of America,California,HYDRO,Environmentally Responsible,35.3444,-118.7289,"35.3444, -118.7289",,,,POWERPLANTS
Keswick Hydro Power Plant CA USA,117,United States of America,California,HYDRO,Environmentally Responsible,40.61187,-122.44642,"40.61187, -122.44642",Dam on river with reservoir,Intermediate Load,"Shasta County, CA, USA",POWERPLANTS
Monticello Hydro Power Plant CA USA,11.5,United States of America,California,HYDRO,Environmentally Responsible,38.2799,-121.9168,"38.2799, -121.9168",,,,POWERPLANTS
Nacimiento Hydro Project Hydro Power Plant CA USA,4.2,United States of America,California,HYDRO,Environmentally Responsible,36.2158,-121.227,"36.2158, -121.227",,,,POWERPLANTS
Newcastle Hydro Power Plant CA USA,12.7,United States of America,California,HYDRO,Environmentally Responsible,39.0607,-120.7087,"39.0607, -120.7087",,,,POWERPLANTS
Pardee Hydro Power Plant CA USA,23.6,United States of America,California,HYDRO,Environmentally Responsible,38.2014,-120.5446,"38.2014, -120.5446",,,,POWERPLANTS
Parker Dam Hydro Power Plant CA USA,120,United States of America,California,HYDRO,Environmentally Responsible,34.29529833,-114.1402254,"34.2952983318, -114.140225449",,Intermediate Load,"San Bernardino County, CA, USA",POWERPLANTS
Pit 6 Hydro Power Plant CA USA,79.2,United States of America,California,HYDRO,Environmentally Responsible,40.7587,-122.0344,"40.7587, -122.0344",,,,POWERPLANTS
Pleasant Valley Hydro Power Plant CA USA,3.2,United States of America,California,HYDRO,Environmentally Responsible,36.5077,-117.404,"36.5077, -117.404",,,,POWERPLANTS
Potter Valley Hydro Power Plant CA USA,9.4,United States of America,California,HYDRO,Environmentally Responsible,39.4373,-123.3794,"39.4373, -123.3794",,,,POWERPLANTS
Rio Bravo Hydro Project Hydro Power Plant CA USA,14,United States of America,California,HYDRO,Environmentally Responsible,35.3444,-118.7289,"35.3444, -118.7289",,,,POWERPLANTS
Rio Hondo Hydro Power Plant CA USA,1.9,United States of America,California,HYDRO,Environmentally Responsible,34.3209,-118.2212,"34.3209, -118.2212",,,,POWERPLANTS
